id	section	title	file	shows	statistics	made_by	notes	poster	paper
B8	TFs vs non-TFs: disorder content and IDR properties	IDR biophysics per segment, TF vs non-TF	figures/genomic/fig08_idr_biophysics.pdf	Mean over IDR segments of MAIN isoforms: length 132 vs 171 aa, kappa 0.195 vs 0.222, fraction proline, polar, charged, aromatic.	Means only, no test.	scripts/figures/genomic_preliminary_fig01_to_fig12.py	RECONSTRUCTION: the original code was lost; every value printed on the original figure is reproduced. Segment-level counterpart of B7.		
B9	TFs vs non-TFs: disorder content and IDR properties	Aromatic fraction vs charge fraction of IDRs	figures/proteome_extended/figE_condensate_scatter.pdf	Canonical isoforms with an IDR: f(aromatic) against FCR, coloured by %IDR, non-TF and TF panels.	Spearman: non-TF rho=-0.21 (p=7.9e-41); TF rho=0.00 (p=0.99).	notebooks/05_proteome_analysis_extended			
C1	Disorder variation across a gene's isoforms	Within-gene %IDR variation, TF vs non-TF	figures/proteome/fig1A_pct_change_idr.pdf	One point per gene: %IDR range (max - min over its isoforms); TF 416 vs non-TF 4,727 genes.	Two-sided MWU p=0.005.	notebooks/02_proteome_analysis			
C2	Disorder variation across a gene's isoforms	As C1, genes with an IDR in any isoform	figures/proteome/fig1B_pct_change_idr_WITHisoforms.pdf	As C1 for genes with >=1 IDR in any isoform (TF 414, non-TF 4,367).	MWU p=0.669.	notebooks/02_proteome_analysis	Restricting to genes with an IDR removes the difference seen in C1.		
C3	Disorder variation across a gene's isoforms	Mean %IDR and %IDR range by isoform count	figures/proteome/fig3A_combined_mean_and_range_pct_idr.pdf	Box + strip plots of gene mean %IDR and %IDR range by number of isoforms (3 to 10+), for TF genes, all genes and non-TF genes.	Descriptive; strip jitter seeded.	notebooks/02_proteome_analysis			
C4	Disorder variation across a gene's isoforms	Isoform count vs mean %IDR and %IDR range	figures/proteome/fig3B_meanidr_rangeidr_linearregress.pdf	One point per gene: number of isoforms vs mean %IDR and vs %IDR range, with TF and non-TF regression lines.	OLS regression lines (statsmodels).	notebooks/02_proteome_analysis			
C5	Disorder variation across a gene's isoforms	More isoforms, more IDR variation?	figures/proteome_extended/figB_nisoforms_vs_pct_change_idr.pdf	One point per gene: number of isoforms vs %IDR range, TF and non-TF fits.	Spearman: non-TF rho=0.24 (p=1.1e-60); TF rho=0.27 (p=1.5e-8).	notebooks/05_proteome_analysis_extended	Overlaps C4.		
C6	Disorder variation across a gene's isoforms	Where the canonical isoform falls in its gene's %IDR range	figures/proteome/fig6A_canonical_position.pdf	Position of the canonical %IDR within each gene's min-max isoform range (0 = least, 1 = most disordered isoform); median 0.79 for TF genes (410) vs 0.50 for non-TF (4,277).	Descriptive.	notebooks/02_proteome_analysis			
C7	Disorder variation across a gene's isoforms	Canonical isoform's %IDR rank within its gene	figures/proteome_extended/figC_canonical_idr_rank.pdf	Share of genes whose canonical isoform is in the top 25% / middle 50% / bottom 25% of the gene's isoforms by %IDR (TF 38/44/18%; non-TF 26/37/37%).	Descriptive.	notebooks/05_proteome_analysis_extended	Overlaps C6.		
C8	Disorder variation across a gene's isoforms	How representative is the canonical isoform?	figures/proteome/fig6B_canonical_representativeness.pdf	A: canonical %IDR vs gene %IDR range; B: |canonical - mean non-canonical %IDR|; C: signed deviation, TF (416) vs non-TF (4,727).	Spearman (A rho=0.28, B rho=0.28 over all genes); MWU TF vs non-TF on C (p=6.9e-6); bootstrap seed 42.	notebooks/02_proteome_analysis			
C9	Disorder variation across a gene's isoforms	Direction of %IDR change in alternative isoforms	figures/proteome_extended/figA_idr_change_direction.pdf	Alternative - canonical %IDR per alternative isoform: non-TF median 0.0 (46.1% lose, 42.8% gain; n=15,186); TF median -1.0 (61.1% lose, 37.3% gain; n=1,472).	Descriptive.	notebooks/05_proteome_analysis_extended			
C10	Disorder variation across a gene's isoforms	Are canonical isoforms longer than their alternatives?	figures/proteome/fig6C_canonical_length_delta.pdf	Canonical - alternative length per alternative isoform: TF median +72 aa (87.1% canonical longer); non-TF +66 aa (85.7%). p1-p99 shown.	Descriptive.	notebooks/02_proteome_analysis	A TF-only copy of the left panel was removed as a duplicate.		
C12	Disorder variation across a gene's isoforms	TF alternative isoforms that lose or gain IDR segments	figures/proteome_extended/figH_tf_alt_seg_change.pdf	TF alternative isoforms grouped by IDR segment count relative to canonical (lost / same / gained): %IDR, FCR and aromatic fraction.	Kruskal-Wallis: %IDR p=4.3e-8, FCR p=0.42, aromatic p=0.060.	notebooks/05_proteome_analysis_extended			
C13	Disorder variation across a gene's isoforms	Genes with the largest within-gene %IDR range	figures/genomic/fig11_top_idr_rewiring_genes.pdf	Top 15 genes by %IDR range among genes with >=3 isoforms whose isoforms all have 5-95% IDR (KIDINS220, AR, COL2A1, ...); TFs starred.	Descriptive; the 5-95% filter excludes all-or-nothing isoforms.	scripts/figures/genomic_preliminary_fig01_to_fig12.py	RECONSTRUCTION: the original code was lost; every value printed on the original figure is reproduced.		
D1	TF families and protein families	Isoforms per gene by TF family	figures/proteome/fig5A_tffamilies_nisoforms.pdf	Histograms for the 7 TF families with most genes (C2H2 ZF, bHLH, nuclear receptor, homeodomain, bZIP, Ets, Rel) plus Unknown, Other and Non-TF.	MWU of each panel vs Non-TF (about 10 tests, uncorrected).	notebooks/02_proteome_analysis	Family ties broken by gene count, isoform count, then name.		
D2	TF families and protein families	IDRs per isoform by TF family	figures/proteome/fig5B_tf_families_nidrsegments.pdf	As D1 for the number of IDR segments per isoform.	MWU vs Non-TF per panel, uncorrected.	notebooks/02_proteome_analysis			
D3	TF families and protein families	%IDR per isoform by TF family	figures/proteome/fig5C_tf_families_pctidr.pdf	As D1 for %IDR per isoform (e.g. bZIP mean 72%, nuclear receptor 34%, Non-TF 32%).	MWU vs Non-TF per panel, uncorrected.	notebooks/02_proteome_analysis			
D4	TF families and protein families	Within-gene %IDR range by TF family	figures/proteome/fig5D_tf_families_pctchangeidr.pdf	As D1 for the %IDR range per gene.	MWU vs Non-TF per panel, uncorrected.	notebooks/02_proteome_analysis			
D5	TF families and protein families	%IDR per isoform, families ranked by isoforms per gene	figures/proteome/fig5D_tf_families_pctidr_nisoforms.pdf	%IDR histograms for the 5 TF families with the most isoforms per gene (p53, MADS box, GTF2I-like, IRF, Rel) and the 2 with the fewest (RFX, T-box), plus Unknown, Other and Non-TF.	MWU vs Non-TF (Non-TF panel vs all TFs), uncorrected.	scripts/figures/fig5D_families_by_isoform_count.py	RECONSTRUCTION: the original code was lost; every value printed on the original figure is reproduced. Five families tie at median 5 isoforms/gene; which three appear is decided by sort order, not the data.		
D6	TF families and protein families	IDR profile by TF family (z-scores)	figures/proteome_extended/figG_tf_family_idr_heatmap.pdf	TF families with >=3 genes: column z-scores of %IDR, %IDR range, IDR segments, FCR, f(aromatic), kappa; side bars give genes per family.	Descriptive.	notebooks/05_proteome_analysis_extended	KNOWN BUG: the 'n genes' side bars are drawn bottom-up while the heatmap rows run top-down, so the counts are reversed (159, C2H2 ZF's count, sits beside IRF). The heatmap itself is correct.		
D7	TF families and protein families	Share of alternative exons encoding an IDR, by TF family	figures/genomic/fig10_tf_family.pdf	TF families with >=50 alternative exon rows: % encoding an IDR (idr_frac >=0.5); top 12 of 25 shown (HMG/Sox 88% ... Forkhead 63%).	Descriptive; exons counted once per isoform.	scripts/figures/genomic_preliminary_fig01_to_fig12.py	RECONSTRUCTION: the original code was lost; every value printed on the original figure is reproduced. Alternative exon = present in some but not all of the gene's mapped transcripts (exon_usage). Only the 12 highest families are shown (the rest go down to 31%).		
D8	TF families and protein families	Disorder across UniProt protein families	figures/proteome/fig_family_disorder.pdf	%IDR per isoform for the 10 most and 10 least disordered UniProt protein families with >=30 isoforms; colour = fraction of isoforms that are TFs.	Descriptive.	scripts/figures/fig_family_disorder.py	Recovered script; table in results/tables/family_disorder_table.csv.	yes	
E1	Gene age	%IDR by gene age, TF vs non-TF	figures/proteome/fig4A_geneage_pct_idr_stars.pdf	Split violins of %IDR per isoform by GenOrigin age bin (<100, 100-500, 500-1000, >1000 Ma), TF vs non-TF.	MWU per bin as stars (p = 0.35, 2.7e-22, 2.4e-211, 2.6e-58); 4 uncorrected tests.	scripts/figures/fig4A_gene_age_pct_idr_stars.py	Recovered script. An earlier copy with a p-value box (same tests) was removed as a duplicate.	yes	
E3	Gene age	Isoforms per gene by gene age	figures/proteome/fig4B_geneage_nisoforms.pdf	Violins of isoforms per gene by age bin, TF vs non-TF.	Descriptive.	notebooks/02_proteome_analysis			
E5	Gene age	Gene age vs canonical %IDR	figures/proteome_extended/fig_age1_pct_idr_vs_age.pdf	Canonical isoforms: %IDR by gene-age bin, non-TF and TF panels.	Spearman vs gene age: non-TF rho=-0.186 (p=6.4e-38); TF rho=0.247 (p=3.2e-7).	notebooks/05_proteome_analysis_extended	A reconstructed copy (fig4C) was removed as a duplicate.		
E6	Gene age	Gene age vs isoform count	figures/proteome_extended/fig_age2_n_isoforms_vs_age.pdf	Isoforms per gene by age bin, all genes.	Spearman rho=0.013, p=0.36.	notebooks/05_proteome_analysis_extended	Overlaps E3.		
E7	Gene age	Gene age vs within-gene %IDR range	figures/proteome_extended/fig_age3_pct_change_idr_vs_age.pdf	%IDR range per gene by age bin, non-TF and TF.	Spearman: non-TF rho=-0.086 (p=3.1e-9); TF rho=0.020 (p=0.68).	notebooks/05_proteome_analysis_extended			
E8	Gene age	TF families ranked by median gene age	figures/proteome_extended/fig_age4_tf_families_by_age.pdf	Median GenOrigin age of TF families with >=3 member genes.	Descriptive.	notebooks/05_proteome_analysis_extended			
E9	Gene age	IDR properties by gene age (canonical)	figures/proteome_extended/fig_age5_idr_biophysics_heatmap.pdf	Canonical IDR-containing proteins: median FCR, NCPR, kappa, f(-), f(+), f(aromatic), f(proline) per age bin, and z-scores across bins.	Descriptive.	notebooks/05_proteome_analysis_extended			
E10	Gene age	IDR properties by gene age: z-scores by group	figures/proteome_extended/fig_age5b_idr_biophysics_heatmap_canon_alt_tf_nontf.pdf	As E9 z-scores, split TF/non-TF x canonical/alternative.	Descriptive.	notebooks/05_proteome_analysis_extended			
E11	Gene age	IDR properties by gene age: medians by group	figures/proteome_extended/fig_age5c_idr_biophysics_median_heatmap_canon_alt_tf_nontf.pdf	As E10 with raw medians on a shared colour scale.	Descriptive.	notebooks/05_proteome_analysis_extended			
E12	Gene age	Longest IDR segment vs gene age	figures/proteome_extended/fig_age6_max_idr_len_vs_age.pdf	Median and IQR of the longest IDR per isoform by age bin, TF vs non-TF, for all / canonical / alternative isoforms.	Descriptive.	notebooks/05_proteome_analysis_extended	The poster used an earlier render of this figure.	yes	
E13	Gene age	% with >=1 IDR by gene age	figures/proteome_extended/fig_age7_pct_genes_with_idr.pdf	% of genes (canonical), canonical isoforms and alternative isoforms with >=1 IDR, by age bin, TF vs non-TF.	Descriptive.	notebooks/05_proteome_analysis_extended			
E14	Gene age	IDR-encoding alternative exons by gene age	figures/genomic/fig09_gene_age.pdf	Per gene (>=3 alternative exon rows): % of alternative exons encoding an IDR, by age bin, TF vs non-TF (genes: 129+30, 569+79, 2,417+215, 891+24).	MWU per bin as stars (*, ns, ****, ****); uncorrected.	scripts/figures/fig09_gene_age.py	Recovered script. Alternative exon = present in some but not all of the gene's mapped transcripts (exon_usage). With the older GENCODE-wide definition the 100-500 Ma bin was ****.		
E15	Gene age	Fate of IDR exons by gene age	figures/genomic/fig15b_idr_fate_by_age.pdf	Share of IDR exons conserved / removed / added per canonical-alternative comparison, by age bin, TF and non-TF panels.	chi-square per group across age bins (TF P=5e-12, Cramer's V=0.078; non-TF V=0.022).	scripts/figures/fig15b_idr_fate_by_age.py	Recovered script; table in results/tables/fig15b_idr_exon_fate_by_pair.csv. 'Removed' is relative to the canonical isoform, not evolutionary loss.	yes	
E16	Gene age	Alternative-exon IDR fraction by gene age	figures/genomic/fig16b_idrfrac_by_age.pdf	Unique alternative exons (gene + exon ID): per-exon IDR fraction by age bin, TF vs non-TF, with group means.	MWU per bin as stars (ns, ****, ****, ****); uncorrected.	scripts/figures/fig16b_idrfrac_by_age.py	Recovered script. Alternative exon = present in some but not all of the gene's mapped transcripts (exon_usage).	yes	
F1	Where IDRs sit in proteins and exons	IDR density along the protein and along the exon	figures/proteome/fig_idr_position_protein_exon.pdf	Proportion disordered along normalised position: canonical proteins (TF 416, non-TF 4,727) and coding exons (TF 3,497, non-TF 62,354).	Circular-shift permutation test, N=200 (seeds 0/1); the printed 'P < 10^-30' comes from a normal approximation to a z-score.	scripts/figures/fig_idr_position_protein_exon.py	Recovered script. With 200 permutations an empirical p cannot go below ~0.005; report as z-based or p <= 0.005.	yes	
F2	Where IDRs sit in proteins and exons	IDR position along the protein (thirds)	figures/genomic/fig04_idr_position.pdf	IDR segments of MAIN isoforms by midpoint: N-terminal third 42.1%, middle 23.2%, C-terminal third 34.7%.	Descriptive.	scripts/figures/genomic_preliminary_fig01_to_fig12.py	RECONSTRUCTION: the original code was lost; every value printed on the original figure is reproduced.		
F3	Where IDRs sit in proteins and exons	Exons spanned per IDR vs ordered segment	figures/genomic/fig03_idr_modularity.pdf	% of IDR and non-IDR segments spanning 1, 2 or >=3 exons (IDR 28/31/42%; ordered 8/13/79%).	Descriptive; caption: IDRs ~3x more likely than ordered regions to lie within one exon.	scripts/figures/fig03_idr_modularity.py	Recovered script. Not length-matched: the median IDR segment is 69 aa and the median ordered segment 191 aa, and longer segments span more exons.	yes	
F4	Where IDRs sit in proteins and exons	Frame symmetry of exon classes	figures/genomic/fig07_frame_symmetry.pdf	% of coding exon rows whose CDS length is divisible by 3: IDR 43.4%, non-IDR 42.0%, alternative 45.7%, constitutive 40.4%, IDR & alternative 46.0% (random 33%).	Descriptive, no test.	scripts/figures/genomic_preliminary_fig01_to_fig12.py	RECONSTRUCTION: the original code was lost; every value printed on the original figure is reproduced. Alternative exon = present in some but not all of the gene's mapped transcripts (exon_usage).		
F5	Where IDRs sit in proteins and exons	Length-matched exon density: IDR vs non-IDR (TF transcripts)	figures/exon_density/fig_length_matched_idr_density.pdf	RefSeq TF transcripts: exon density ((exon pieces - 1) per kb) of IDR vs non-IDR regions within IDR-length bins.	MWU per bin (5 tests), stars.	notebooks/06_exon_density_length_matched (cell 28)	Susie Song's RefSeq-based pipeline and IDR calls (data/raw/exon_density), not the UniProt cohort.		
F6	Where IDRs sit in proteins and exons	Length-matched exon density: TF vs non-TF	figures/exon_density/fig_length_matched_tf_vs_nontf.pdf	Proteome-wide RefSeq transcripts: TF IDR vs non-IDR; non-TF IDR vs non-IDR; IDR regions TF vs non-TF, per IDR-length bin.	MWU per bin (15 tests), stars.	notebooks/06_exon_density_length_matched (cell 31)	As F5.		
F7	Where IDRs sit in proteins and exons	Length-matched exon density: IDR regions, TF vs non-TF	figures/exon_density/fig_length_matched_tf_vs_nontf_idr_only.pdf	Panel 3 of F6 as a standalone figure: median exon density of TF vs non-TF IDR regions per IDR-length bin, with n.	MWU per bin, stars.	scripts/figures/fig_length_matched_tf_vs_nontf_idr_only.py	RECONSTRUCTION: the original code was lost; every value printed on the original figure is reproduced. As F5.		
G1	Alternative splicing and IDRs	IDRs are enriched in alternative exons	figures/genomic/fig14_idr_enrichment_contingency.pdf	a: % of exons encoding an IDR, alternative vs constitutive, all / TF / non-TF (38 vs 26%, 61 vs 50%, 36 vs 24%); b: per-gene difference in IDR fraction; c: per-gene Fisher volcano.	Pooled chi-square 2x2 with odds ratio per cohort; per-gene sign test and Fisher tests.	pipeline/tfidr_pipeline/stages/s9b_idr_enrichment.py	Alternative exon = present in some but not all of the gene's mapped transcripts (exon_usage). fig06 (the same comparison counted per isoform) and fig12 (a composite of panels from G1, G8, G9 and B5) were removed as duplicates.	yes	
G3	Alternative splicing and IDRs	Continuous IDR fraction of alternative vs constitutive exons	figures/genomic/fig16_exon_idr_fraction_continuous.pdf	Unique exons: mean (95% CI) and split violins of per-exon IDR fraction; non-TF 0.38 vs 0.24 (40,112 / 35,641 exons), TF 0.62 vs 0.49 (3,121 / 1,831).	One-sided MWU within cohort (non-TF P<1e-300, TF P=1.9e-24).	pipeline/tfidr_pipeline/stages/s9c_exon_idr_fraction.py	Alternative exon = present in some but not all of the gene's mapped transcripts (exon_usage).	yes	
G4	Alternative splicing and IDRs	Per gene, alternative exons are more disordered	figures/genomic/fig17_gene_idr_fraction.pdf	One point per gene with both exon classes (4,038 genes: 307 TF, 3,731 non-TF): mean IDR fraction of alternative vs constitutive exons; 66% of genes have a positive difference in both groups.	One-sided Wilcoxon signed-rank per cohort (non-TF P=2.3e-199, TF P=1.9e-9).	pipeline/tfidr_pipeline/stages/s9d_gene_idr_fraction.py	Alternative exon = present in some but not all of the gene's mapped transcripts (exon_usage).		
G5	Alternative splicing and IDRs	TF genes have a larger share of alternative exons	figures/genomic/fig13_gene_grouping_alt_fraction.pdf	Per gene: share of exon rows that are alternative; TF 365 vs non-TF 4,165 genes (medians 0.50 vs 0.36); box/strip and cumulative distribution.	Two-sided MWU p=1.4e-10.	scripts/figures/fig13_gene_grouping_alt_fraction.py	RECONSTRUCTION: the original code was lost; every value printed on the original figure is reproduced. Alternative exon = present in some but not all of the gene's mapped transcripts (exon_usage). Rows are isoform x exon, so constitutive exons count once per isoform; with unique exons p=3.7e-11. With the GENCODE-wide definition there is no difference (p=0.86). The poster used panel A alone (fig13a); that copy was removed as a duplicate.	yes	
G8	Alternative splicing and IDRs	TF exons encode more disorder per exon	figures/genomic/fig_exon_idr_fraction_tf.pdf	Cumulative distribution of per-exon IDR fraction (non-TF 194,074; TF 12,487 exon rows) and pooled exon IDR fraction (0.33 vs 0.59).	Descriptive.	pipeline/tfidr_pipeline/stages/s9_splicing_idr_analysis.py			
G9	Alternative splicing and IDRs	Splicing modulates IDRs: mechanism summary	figures/genomic/fig_splicing_idr_mechanism.pdf	A: IDR-encoding alternative vs constitutive exons; B: frame-symmetric IDR vs ordered exons; C: gene-level OLS coefficient of TF on %IDR range as controls and IDR-splicing are added; D: median properties of alternatively spliced vs constitutive TF IDRs.	Gene-paired tests and nested OLS (s9).	pipeline/tfidr_pipeline/stages/s9_splicing_idr_analysis.py	Alternative exon = present in some but not all of the gene's mapped transcripts (exon_usage). Panel C's title says the TF effect 'vanishes' and IDR-splicing 'drives' it, but the unadjusted TF coefficient is itself not significant (beta=0.97, t=0.80; with controls -0.21; plus IDR-splicing -0.76, whose own beta=2.74, t=7.2). This is an association, not mediation.		
G10	Alternative splicing and IDRs	Splice-event types and their IDR consequence	figures/genomic/fig_splice_event_idr.pdf	Canonical vs alternative isoform pairs: % of events of each type (exon skip, alternative first/last exon, alternative 5'/3' site, intron retention, complex) that alter an IDR, TF vs non-TF.	Descriptive.	pipeline/tfidr_pipeline/mapping/classify_splice_events.py			
G11	Alternative splicing and IDRs	IDR exons conserved, removed or added (all / TF / non-TF)	figures/genomic/fig15_idr_gain_loss_by_tf.pdf	Per canonical-alternative comparison, IDR exons conserved in both, removed (canonical only) or added (alternative only): 72% / 22% / 5-6% in every group.	chi-square 2x3 TF vs non-TF: P=0.75, Cramer's V=0.004.	pipeline/tfidr_pipeline/stages/s10b_idr_gain_loss.py	'Removed' is relative to the canonical isoform, not evolutionary loss. The poster used a copy without the ALL row (removed as a duplicate).	yes	
G13	Alternative splicing and IDRs	Aromatic and charged residues of added vs removed IDR exons	figures/genomic/fig_splice_idr_sticker_grammar.pdf	Unique IDR exons: aromatic (F/Y/W) and charged (D/E/K/R) residue fractions of constitutive, added and removed IDR exons, non-TF and TF.	MWU added vs removed (4 tests, stars): aromatic ****/****, charged ****/*.	scripts/figures/fig_splice_idr_sticker_grammar.py	Recovered script. Alternative exon = present in some but not all of the gene's mapped transcripts (exon_usage). Added exons are shorter (median 24 vs 38 aa); only the 25-aa-binned check in the script's output controls for length.		
H1	Function: GO enrichment (cluster only)	Canonical %IDR of high-variation genes	figures/go_enrichment/Q4_canonical_disorder_TF_and_NonTF.pdf	Genes in the top quartile of %IDR range (Q4) vs Q1-Q3: canonical %IDR, TF (104 vs 312) and non-TF (1,182 vs 3,545).	MWU: TF p=0.88; non-TF p=7.3e-62.	notebooks/go_enrichment_CLUSTER_ONLY	Made on the AKEY cluster; not regenerated by run.py.		
H2	Function: GO enrichment (cluster only)	GO enrichment of high-variation genes (full BP ontology)	figures/go_enrichment/Q4_TF_and_NonTF_full_GO_BP.pdf	goatools enrichment of Q4 genes against the cohort, TF and non-TF: top biological-process terms with gene ratio, and raw vs FDR-adjusted p.	Fisher/goatools with FDR correction.	notebooks/go_enrichment_CLUSTER_ONLY	Cluster only. In every plotted term the FDR-adjusted p (orange) falls short of the 0.05 line; terms are ranked by raw p.		
H3	Function: GO enrichment (cluster only)	GO enrichment, BP levels 2-3	figures/go_enrichment/Q4_TF_and_NonTF_GO_BP_levels_2_3.pdf	As H2 restricted to GO levels 2-3.	As H2.	notebooks/go_enrichment_CLUSTER_ONLY	As H2.		
H4	Function: GO enrichment (cluster only)	GO enrichment, BP levels 3-4	figures/go_enrichment/Q4_TF_and_NonTF_GO_BP_levels_3_4.pdf	As H2 restricted to GO levels 3-4.	As H2.	notebooks/go_enrichment_CLUSTER_ONLY	As H2.		
